,player_name,player_age,from_team,from_competition,to_team,to_competition,transfer_date,first_nationality,second_nationality,market_value_number,transfer_fee_number,transfer_fee_other
66,Achraf El Bouchataoui,20,Feyenoord,Eredivisie,FC Dordrecht,Keuken Kampioen Divisie,1/15/2020,Netherlands,Morocco,250,0,Loan
67,Lars Veldwijk,28,Sparta R.,Eredivisie,Jeonbuk Motors,K League 1,1/15/2020,South Africa,Netherlands,550,300,
68,Abdallah Aberkane,19,Sparta R.,Eredivisie,Excelsior,Keuken Kampioen Divisie,1/14/2020,Netherlands,Morocco,50,0,Free transfer
69,Robin Polley,21,ADO Den Haag,Eredivisie,FC Dordrecht,Keuken Kampioen Divisie,1/14/2020,Ghana,Netherlands,50,0,Loan
70,Jeroen Zoet,29,PSV Eindhoven,Eredivisie,FC Utrecht,Eredivisie,1/14/2020,Netherlands,,5500,0,Loan
71,Charlison Benschop,30,FC Groningen,Eredivisie,Apol. Limassol,First Division,1/13/2020,Curacao,Netherlands,400,0,?
72,Mick van Buren,27,Slavia Prague,Fortuna Liga,ADO Den Haag,Eredivisie,1/13/2020,Netherlands,,600,0,Loan
73,Laurens De Bock,27,Leeds,Championship,ADO Den Haag,Eredivisie,1/13/2020,Belgium,,550,0,Loan
74,Stijn Spierings,24,RKC Waalwijk,Eredivisie,Levski Sofia,efbet Liga,1/13/2020,Netherlands,,550,500,
75,George Thomas,23,Leicester,Premier League,ADO Den Haag,Eredivisie,1/13/2020,Wales,England,250,0,Loan
76,Fred Friday,24,AZ Alkmaar,Eredivisie,Without Club,None,1/13/2020,Nigeria,,300,0,-
77,Ryan Babel,33,Galatasaray,Süper Lig,Ajax,Eredivisie,1/11/2020,Netherlands,Suriname,2000,0,Loan fee:€1.55m
78,Luis Manuel Orejuela,24,Ajax,Eredivisie,Cruzeiro,Série B,1/11/2020,Colombia,,1200,1300,
79,Pawel Cibicki,26,ADO Den Haag,Eredivisie,Leeds,Championship,1/11/2020,Sweden,Poland,550,0,End of loan
80,Liam Kelly,24,Feyenoord,Eredivisie,Oxford United,League One,1/8/2020,Ireland,England,475,0,Loan
81,Sam Stubbs,21,Boro U23,Premier League 2,ADO Den Haag,Eredivisie,1/8/2020,England,,250,0,Loan
82,Justin Ogenia,21,Willem II,Eredivisie,FC Eindhoven,Keuken Kampioen Divisie,1/7/2020,Curacao,Netherlands,75,0,Loan
83,Oussama Darfalou,26,Vitesse,Eredivisie,VVV-Venlo,Eredivisie,1/7/2020,Algeria,,800,0,Loan
84,Björn Johnsen,28,AZ Alkmaar,Eredivisie,Ulsan Hyundai,K League 1,1/6/2020,Norway,United States,1200,1000,
85,Anders Dreyer,21,Heerenveen,Eredivisie,Brighton,Premier League,1/5/2020,Denmark,,525,0,End of loan
86,Ramon Leeuwin,32,Odense BK,Superligaen,AZ Alkmaar,Eredivisie,1/3/2020,Netherlands,Suriname,400,0,?
87,Halil Dervisoglu,20,Sparta R.,Eredivisie,Brentford,Championship,1/3/2020,Turkey,Netherlands,1800,3000,
88,Tijjani Reijnders,21,AZ Alkmaar,Eredivisie,RKC Waalwijk,Eredivisie,1/2/2020,Netherlands,,625,0,Loan
89,Hilal Ben Moussa,27,Sepsi Sf. Gh.,Liga 1 - Relegation group,FC Emmen,Eredivisie,1/2/2020,Netherlands,Morocco,250,0,Free transfer
90,Mike Havekotte,24,ADO Den Haag,Eredivisie,FC Dordrecht,Keuken Kampioen Divisie,1/2/2020,Netherlands,,75,0,Loan
91,Ramón ten Hove,22,FC Dordrecht,Keuken Kampioen Divisie,Feyenoord,Eredivisie,1/2/2020,Netherlands,,200,0,End of loan
92,Jesse Bosch,20,FC Twente U21,Beloften Eerste Divisie,FC Twente,Eredivisie,1/1/2020,Netherlands,,50,0,-
93,Romano Postema,18,Groningen U19,U19 Eredivisie,FC Groningen,Eredivisie,1/1/2020,Netherlands,,200,0,-
94,Mats van Kins,21,ADO Den Haag,Eredivisie,ADO U21,Derde Divisie Sunday,1/1/2020,Netherlands,,100,0,-
95,Dean van der Sluys,24,RKC Waalwijk,Eredivisie,TOP Oss,Keuken Kampioen Divisie,1/1/2020,Netherlands,,300,0,Free transfer
96,Mica Pinto,26,Fortuna Sittard,Eredivisie,Sparta R.,Eredivisie,1/1/2020,Portugal,Luxembourg,525,0,?
97,Runar Espejord,24,Tromsø IL,OBOS-ligaen,Heerenveen,Eredivisie,1/1/2020,Norway,,325,500,
98,Michael Breij,23,FC Groningen,Eredivisie,SC Cambuur,Keuken Kampioen Divisie,1/1/2020,Netherlands,,325,0,?
99,Hakon Evjen,20,Bodø/Glimt,Eliteserien,AZ Alkmaar,Eredivisie,1/1/2020,Norway,,3200,2500,
100,Toni Lato,22,PSV Eindhoven,Eredivisie,Valencia,LaLiga,1/1/2020,Spain,,1600,0,End of loan
101,Jannik Pohl,24,AC Horsens,Superligaen,FC Groningen,Eredivisie,12/31/2019,Denmark,,300,0,End of loan
102,Jhonny Quiñónez,21,Willem II,Eredivisie,SD Aucas,LigaPro Serie A,12/31/2019,Ecuador,,450,0,End of loan
103,Björn Johnsen,28,Rosenborg BK,Eliteserien,AZ Alkmaar,Eredivisie,12/31/2019,Norway,United States,1200,0,End of loan
104,Luis Manuel Orejuela,24,Cruzeiro,Série A,Ajax,Eredivisie,12/31/2019,Colombia,,1200,0,End of loan
105,Jordan Teze,20,PSV U21,Keuken Kampioen Divisie,PSV Eindhoven,Eredivisie,12/21/2019,Netherlands,Congo,450,0,-
106,Agim Zeka,21,Fortuna Sittard,Eredivisie,LOSC Lille B,"
 France		",12/20/2019,Albania,Germany,150,0,End of loan
107,Dylan Seys,23,RKC Waalwijk,Eredivisie,Without Club,None,12/3/2019,Belgium,,400,0,-
108,Keisuke Honda,33,Without Club,None,Vitesse,Eredivisie,11/6/2019,Japan,,800,0,-
109,Miguel Araujo,25,Without Club,None,FC Emmen,Eredivisie,10/4/2019,Peru,,675,0,Free transfer
110,Fabian Sporkslede,26,Without Club,None,RKC Waalwijk,Eredivisie,9/27/2019,Netherlands,Suriname,325,0,-
111,Georgios Strezos,24,Without Club,None,Willem II,Eredivisie,9/25/2019,Greece,,325,0,Free transfer
112,Özgür Aktas,23,Vitesse U21,Beloften Eerste Divisie,Vitesse,Eredivisie,9/19/2019,Netherlands,Turkey,50,0,-
113,Patrick Vroegh,20,Vitesse U21,Beloften Eerste Divisie,Vitesse,Eredivisie,9/19/2019,Netherlands,,50,0,-
114,Wilfried Kanon,26,ADO Den Haag,Eredivisie,Pyramids FC,Premier League,9/17/2019,Cote d'Ivoire,,1400,600,
115,Jari Oosterwijk,25,FC Twente,Eredivisie,Without Club,None,9/16/2019,Netherlands,,400,0,-
116,Noa Lang,20,Ajax U21,Keuken Kampioen Divisie,Ajax,Eredivisie,9/12/2019,Netherlands,Suriname,2700,0,-
117,Jurgen Ekkelenkamp,20,Ajax U21,Keuken Kampioen Divisie,Ajax,Eredivisie,9/12/2019,Netherlands,,1300,0,-
118,Sergiño Dest,19,Ajax U21,Keuken Kampioen Divisie,Ajax,Eredivisie,9/12/2019,United States,Netherlands,18000,0,-
119,Ryan Gravenberch,17,Ajax U21,Keuken Kampioen Divisie,Ajax,Eredivisie,9/12/2019,Netherlands,Suriname,11000,0,-
120,Tesfaldet Tekie,22,Without Club,None,Fortuna Sittard,Eredivisie,9/9/2019,Sweden,Eritrea,650,0,-
121,Queensy Menig,24,Without Club,None,FC Twente,Eredivisie,9/9/2019,Netherlands,Suriname,550,0,-
122,Eli Dasa,27,Without Club,None,Vitesse,Eredivisie,9/9/2019,Israel,,800,0,-
123,Jamal Blackman,26,Chelsea,Premier League,Vitesse,Eredivisie,9/3/2019,England,Jamaica,400,0,Loan
124,Josimar Lima,30,VVV-Venlo,Eredivisie,ASWH,Tweede Divisie,9/2/2019,Cape Verde,Netherlands,0,0,Free transfer
125,Mickaël Malsa,24,Fortuna Sittard,Eredivisie,CD Mirandés,LaLiga2,9/2/2019,Martinique,France,800,0,Free transfer
