player_id,player_name,player_position,player_age,player_nat,from_team,to_team,market_value,transfer_fee,season,transfer_direction,international_transfer,from_country,to_country
242208,Leo Snijders,Forward,22,Netherlands,VVV,Willem II Tilburg,-,?,1959/1960,in,False,Netherlands,Netherlands
207295,Henk Elzer,Midfielder,26,Netherlands,Willem II Tilburg,Unknown,-,?,1959/1960,out,True,Netherlands,
289599,Rik Matthys,Defender,33,Belgium,Willem II Tilburg,Unknown,-,?,1959/1960,out,True,Netherlands,
241274,Peter Fitzgerald,Centre-Forward,22,Ireland,Watford,RV & AV Sparta,-,€45k,1959/1960,in,True,England,Netherlands
176788,Johnny Crossan,Second Striker,20,Northern Ireland,Bristol City,RV & AV Sparta,-,?,1959/1960,in,True,England,Netherlands
241269,Wilco de Boer,Midfielder,19,Netherlands,Xerxes,RV & AV Sparta,-,?,1959/1960,in,False,Netherlands,Netherlands
241253,Jan Allart,Forward,22,Netherlands,Unknown,RV & AV Sparta,-,?,1959/1960,in,True,,Netherlands
241298,Hugo Meijers,Left Winger,18,Netherlands,Jong Sparta,RV & AV Sparta,-,-,1959/1960,in,False,Netherlands,Netherlands
152672,Tonnie van Leeuwen,Goalkeeper,16,Netherlands,Sparta U19,RV & AV Sparta,-,-,1959/1960,in,False,Netherlands,Netherlands
152051,Peet Geel,Left Winger,29,Netherlands,RV & AV Sparta,Xerxes,-,?,1959/1960,out,False,Netherlands,Netherlands
288258,Joop van Linstee,Right Winger,22,Netherlands,RV & AV Sparta,DFC,-,?,1959/1960,out,False,Netherlands,Netherlands
239557,Koos Verbeek,Right Midfield,30,Netherlands,RV & AV Sparta,Retired,-,-,1959/1960,out,True,Netherlands,
152145,Henk Groot,Centre-Forward,21,Netherlands,Telstar,Ajax Amsterdam,-,€34k,1959/1960,in,False,Netherlands,Netherlands
187033,Cees Groot,Centre-Forward,27,Netherlands,Stormvogels,Ajax Amsterdam,-,€14k,1959/1960,in,False,Netherlands,Netherlands
109371,Co Prins,Centre-Forward,21,Netherlands,Unknown,Ajax Amsterdam,-,?,1959/1960,in,True,,Netherlands
187059,Ad Visser,Defender,23,Netherlands,DWS/A,Ajax Amsterdam,-,?,1959/1960,in,False,Netherlands,Netherlands
187048,Kees Smit,Defender,19,Netherlands,Unknown,Ajax Amsterdam,-,?,1959/1960,in,True,,Netherlands
187046,Werner Schaaphok,Defender,17,Germany,Ajax U19,Ajax Amsterdam,-,-,1959/1960,in,False,Netherlands,Netherlands
152553,Piet van der Kuil,Right Winger,26,Netherlands,Ajax Amsterdam,PSV Eindhoven,-,€59k,1959/1960,out,False,Netherlands,Netherlands
207304,Willy Schmidt,Forward,32,Netherlands,Ajax Amsterdam,Fortuna'54,-,€14k,1959/1960,out,False,Netherlands,Netherlands
207481,Wim Kluft,Goalkeeper,25,Netherlands,Ajax Amsterdam,Unknown,-,?,1959/1960,out,True,Netherlands,
207454,Henk Koning,Defender,24,Netherlands,Ajax Amsterdam,Go Ahead,-,?,1959/1960,out,False,Netherlands,Netherlands
207458,Jan Snoeks,Forward,27,Netherlands,Ajax Amsterdam,Stormvogels,-,?,1959/1960,out,False,Netherlands,Netherlands
207461,Toon van der Linde,Forward,22,Netherlands,Ajax Amsterdam,Unknown,-,?,1959/1960,out,True,Netherlands,
187059,Ad Visser,Defender,24,Netherlands,Ajax Amsterdam,DWS/A,-,?,1959/1960,out,False,Netherlands,Netherlands
207294,Loek den Edel,Forward,25,Netherlands,Ajax Amsterdam,Alkmaar '54,-,?,1959/1960,out,False,Netherlands,Netherlands
207480,Bozo Broketa,Defender,36,Jugoslawien (SFR),Ajax Amsterdam,GOSK Dubrovnik,-,?,1959/1960,out,True,Netherlands,Croatia
207456,Jan Quakernaat,Defender,24,Netherlands,Ajax Amsterdam,JOS,-,?,1959/1960,out,False,Netherlands,Netherlands
207447,Wim Feldmann,Defender,28,Netherlands,Ajax Amsterdam,Retired,-,-,1959/1960,out,True,Netherlands,
486469,Peter Hoet,Forward,18,Netherlands,Unknown,HSV ADO,-,?,1959/1960,in,True,,Netherlands
349729,Joop Pattiselano,Goalkeeper,24,Netherlands,Unknown,HSV ADO,-,?,1959/1960,in,True,,Netherlands
323281,Theo Verlangen,Centre-Back,18,Netherlands,Unknown,HSV ADO,-,?,1959/1960,in,True,,Netherlands
658146,Wienus Schook,Right Midfield,21,Netherlands,Unknown,HSV ADO,-,?,1959/1960,in,True,,Netherlands
279874,Jacques Smit,Defender,17,Netherlands,ADO U19,HSV ADO,-,-,1959/1960,in,False,Netherlands,Netherlands
324949,Karel Jansen,Left Midfield,33,Netherlands,HSV ADO,DHC Delft,-,?,1959/1960,out,False,Netherlands,Netherlands
683662,Fred Eckhardt,Left Winger,19,Netherlands,HSV ADO,SHS,-,?,1959/1960,out,False,Netherlands,Netherlands
391510,Frans Kok,Goalkeeper,35,Netherlands,HSV ADO,SHS,-,?,1959/1960,out,False,Netherlands,Netherlands
394493,Harry Crompvoets,Right-Back,18,Netherlands,VVV '03,VVV Venlo,-,?,1959/1960,in,False,Netherlands,Netherlands
390749,André Orval,Central Midfield,18,Netherlands,PSV Eindhoven,VVV Venlo,-,?,1959/1960,in,False,Netherlands,Netherlands
152220,Harry Heijnen,Right Winger,18,Netherlands,VVV/Hel U19,VVV Venlo,-,-,1959/1960,in,False,Netherlands,Netherlands
148725,Jan Klaassens,Left Midfield,27,Netherlands,VVV Venlo,Feijenoord,-,€45k,1959/1960,out,False,Netherlands,Netherlands
242208,Leo Snijders,Forward,22,Netherlands,VVV Venlo,Willem II,-,?,1959/1960,out,False,Netherlands,Netherlands
532725,Karl-Heinz Spikofski,Attacking Midfield,32,Germany,VVV Venlo,Wormatia Worms,-,?,1959/1960,out,True,Netherlands,Germany
306861,Erwin Sparendam,Centre-Back,24,Netherlands,Blauw-Wit,USV Elinkwijk,-,€14k,1959/1960,in,False,Netherlands,Netherlands
409597,Ben Zweers,Centre-Forward,25,Netherlands,Rheden,USV Elinkwijk,-,€7k,1959/1960,in,False,Netherlands,Netherlands
