,player_id,player_name,player_position,player_age,player_nat,from_team,to_team,season,transfer_direction,international_transfer,from_country,to_country,market_value_number,transfer_fee_number,transfer_fee_other
15,151816,Joep Brandes,Forward,30,Netherlands,RV & AV Feijenoord,Nîmes Olympique,1950/1951,out,True,Netherlands,France,0.0,0,?
16,154266,Arie de Vroet,Left Midfield,31,Netherlands,RV & AV Feijenoord,AC Le Havre,1950/1951,out,True,Netherlands,France,0.0,0,?
17,207295,Henk Elzer,Midfielder,18,Netherlands,Unknown,Ajax Amsterdam,1951/1952,in,True,,Netherlands,0.0,0,?
18,207288,Klaas Bakker,Forward,25,Netherlands,De Volewijckers,Ajax Amsterdam,1951/1952,in,False,Netherlands,Netherlands,0.0,0,?
19,151995,Guus Dräger,Forward,33,Netherlands,Ajax Amsterdam,Stormvogels,1951/1952,out,False,Netherlands,Netherlands,0.0,0,?
20,152332,Cor van der Hoeven,Defender,30,Netherlands,Ajax Amsterdam,WV-HEDW,1951/1952,out,False,Netherlands,Netherlands,0.0,0,?
21,486467,Cor Brom,Forward,21,Netherlands,VVA,De Twentse Profs,1954/1955,in,False,Netherlands,Netherlands,0.0,0,?
22,568455,Berry Janse,Right Winger,21,Netherlands,Hermes-DVS,De Twentse Profs,1954/1955,in,False,Netherlands,Netherlands,0.0,0,?
23,486467,Cor Brom,Forward,22,Netherlands,De Twentse Profs,BVC Amsterdam,1954/1955,out,False,Netherlands,Netherlands,0.0,0,?
24,568455,Berry Janse,Right Winger,22,Netherlands,De Twentse Profs,Tubantia,1954/1955,out,False,Netherlands,Netherlands,0.0,0,?
25,153319,Piet Ouderland,Left-Back,22,Netherlands,OVVO,Ajax Amsterdam,1955/1956,in,False,Netherlands,Netherlands,0.0,1,
26,152553,Piet van der Kuil,Right Winger,22,Netherlands,VSV,Ajax Amsterdam,1955/1956,in,False,Netherlands,Netherlands,0.0,0,?
27,240589,Arend van der Wel,Right Winger,22,Netherlands,Ajax Amsterdam,SC Enschede,1955/1956,out,False,Netherlands,Netherlands,0.0,0,?
28,413222,Co Bouwens,Midfielder,30,Netherlands,Ajax Amsterdam,Unknown,1955/1956,out,True,Netherlands,,0.0,0,?
29,413223,Gerrit Krist,Midfielder,26,Netherlands,Ajax Amsterdam,Unknown,1955/1956,out,True,Netherlands,,0.0,0,?
30,231191,Karel Theuwis,Centre-Forward,25,Belgium,De Valk,PSV Eindhoven,1955/1956,in,False,Netherlands,Netherlands,0.0,0,?
31,240418,Milan Nikolic,Forward,26,Serbia,Rapid Vienna,PSV Eindhoven,1955/1956,in,True,Austria,Netherlands,0.0,0,?
32,151673,Piet Bakers,Right-Back,32,Netherlands,PSV Eindhoven,ADO,1955/1956,out,False,Netherlands,Netherlands,0.0,0,?
33,241244,Berend Scholtens,Midfielder,36,Netherlands,PSV Eindhoven,Retired,1955/1956,out,True,Netherlands,,0.0,0,-
34,152521,Coy Koopal,Forward,23,Netherlands,VVV,Willem II Tilburg,1956/1957,in,False,Netherlands,Netherlands,0.0,26,
35,244094,Kurt Zaro,Forward,27,Germany,Triestina,Willem II Tilburg,1956/1957,in,True,Italy,Netherlands,0.0,0,?
36,151840,Sjel de Bruyckere,Centre-Forward,28,Netherlands,Willem II Tilburg,Ringwood City,1956/1957,out,True,Netherlands,Australia,0.0,0,?
37,242208,Leo Snijders,Forward,19,Netherlands,Willem II Tilburg,VVV,1956/1957,out,False,Netherlands,Netherlands,0.0,0,?
38,151784,Tinus Bosselaar,Left Winger,20,Netherlands,Feijenoord,RV & AV Sparta,1956/1957,in,False,Netherlands,Netherlands,0.0,0,?
39,154265,Piet de Vries,Forward,17,Netherlands,Unknown,RV & AV Sparta,1956/1957,in,True,,Netherlands,0.0,0,?
40,239547,Joop Schop,Defender,24,Netherlands,Unknown,RV & AV Sparta,1956/1957,in,True,,Netherlands,0.0,0,?
41,152051,Peet Geel,Left Winger,26,Netherlands,BVC Amsterdam,RV & AV Sparta,1956/1957,in,False,Netherlands,Netherlands,0.0,0,?
42,403274,Wout Zuidgeest,Right Winger,28,Netherlands,RV & AV Sparta,SHS,1956/1957,out,False,Netherlands,Netherlands,0.0,0,?
43,468510,Frans van den Oever,Left-Back,28,Netherlands,RV & AV Sparta,SVV,1956/1957,out,False,Netherlands,Netherlands,0.0,0,?
44,414262,Hans Sonneveld,Midfielder,33,Netherlands,RV & AV Sparta,Retired,1956/1957,out,True,Netherlands,,0.0,0,-
45,207304,Willy Schmidt,Forward,29,Netherlands,Eindhoven,Ajax Amsterdam,1956/1957,in,False,Netherlands,Netherlands,0.0,18,
