player_id,player_name,player_position,player_age,player_nat,from_team,to_team,market_value,transfer_fee,season
152662,Cor Luiten,Forward,32,Netherlands,SC Enschede,AVV DOS Utrecht,-,?,1961/1962
154251,Gerrit Voges,Midfielder,28,Netherlands,Willem II,AVV DOS Utrecht,-,?,1961/1962
153059,Frans de Munck,Goalkeeper,38,Netherlands,Veendam,AVV DOS Utrecht,-,?,1961/1962
187019,Gert Bals,Goalkeeper,24,Netherlands,PSV Eindhoven,'t Gooi,-,€16k,1961/1962
153804,Miel Pijs,Defender,18,Netherlands,PSV Eindhoven,De Valk,-,€9k,1961/1962
279859,Lambert Maassen,Forward,19,Netherlands,PSV Eindhoven,VV UNA,-,€1k,1961/1962
152442,Pierre Kerkhoffs,Forward,25,Netherlands,PSV Eindhoven,SC Enschede,-,?,1961/1962
650473,Gordon Nutt,Right Winger,28,England,PSV Eindhoven,Southend United,-,?,1961/1962
152441,Peter Kemper,Forward,18,Netherlands,PSV Eindhoven,PSV U19,-,-,1961/1962
241210,Tijn van Lier,Forward,20,Netherlands,PSV Eindhoven,PSV U19,-,-,1961/1962
240431,Jan van den Heuvel,Midfielder,25,Netherlands,VVV,PSV Eindhoven,-,€11k,1961/1962
240566,Eugéne Rensen,Defender,30,Netherlands,NEC,PSV Eindhoven,-,€5k,1961/1962
151948,Coen Dillen,Centre-Forward,34,Netherlands,Helmondia '55,PSV Eindhoven,-,?,1961/1962
152529,Piet Kruiver,Centre-Forward,23,Netherlands,Vicenza,PSV Eindhoven,-,?,1961/1962
151858,Harry Brüll,Right-Back,26,Netherlands,MVV Maastricht,Verein löschen,-,?,1961/1962
244070,Frans Körver,Goalkeeper,23,Netherlands,MVV Maastricht,Sittardia,-,?,1961/1962
152214,Chiel Haenen,Defender,27,Netherlands,MVV Maastricht,Rapid JC,-,?,1961/1962
188765,Nico Mares,Forward,20,Netherlands,MVV Maastricht,Unknown,-,?,1961/1962
151754,Gerardus Bergholtz,Right Winger,21,Netherlands,Feijenoord,MVV Maastricht,-,?,1961/1962
391509,Piet van Neer,Goalkeeper,26,Netherlands,Willem II,MVV Maastricht,-,?,1961/1962
352341,Jo Walhout,Centre-Back,31,Netherlands,Willem II Tilburg,Feijenoord,-,€20k,1961/1962
152660,Frits Louer,Forward,29,Netherlands,Willem II Tilburg,NOAD,-,?,1961/1962
154251,Gerrit Voges,Midfielder,28,Netherlands,Willem II Tilburg,DOS,-,?,1961/1962
391509,Piet van Neer,Goalkeeper,26,Netherlands,Willem II Tilburg,MVV,-,?,1961/1962
154257,Henk Vriens,Defensive Midfield,17,Netherlands,Willem II Tilburg,Willem II U21,-,-,1961/1962
595074,Henk Zieltjens,Left Winger,23,Netherlands,NOAD,Willem II Tilburg,-,€5k,1961/1962
151902,Jeu van Bun,Right-Back,42,Netherlands,Sparta,Willem II Tilburg,-,?,1961/1962
244066,Loek Heestermans,Forward,23,Netherlands,NOAD,Willem II Tilburg,-,?,1961/1962
244058,Piet de Jong,Right Winger,31,Netherlands,Retired,Willem II Tilburg,-,-,1961/1962
153037,Sjef Mertens,Defender,35,Netherlands,Retired,Willem II Tilburg,-,-,1961/1962
316308,Cor Adelaar,Left Winger,18,Netherlands,RV & AV Sparta,Velox,-,€18k,1961/1962
151902,Jeu van Bun,Right-Back,42,Netherlands,RV & AV Sparta,Willem II,-,?,1961/1962
316307,Eddy van der Graaf,Forward,18,Netherlands,RV & AV Sparta,Hermes-DVS,-,?,1961/1962
316310,Cees Doesburg,Right Winger,20,Netherlands,RV & AV Sparta,Sparta U19,-,-,1961/1962
316451,Jan van der Velden,Goalkeeper,21,Netherlands,RV & AV Sparta,Jong Sparta,-,-,1961/1962
